WIlmanNameForPhylo;species;year;naxes;beta_total;beta_repl;beta_diff;vol_protected;vol_unprotected;disp_protected;disp_unprotected;delta_vol;delta_disp;Group;Activity-Nocturnal;BodyMass-Value;Gen_Length;Migr;RL_Status_FI_2019;Habitat_Specializ;DietSpecializ;MainHabitatOriginal;MainHabitat6;MeanLatitude;Order;Family
Fringilla montifringilla;Fringilla montifringilla;2018s;7;0,74;0,662;0,078;1,131581799;0,998885148;0,715462078;0,711122567;0,132696652;0,004339511;bird;0;23,19;5,7;S;0;0,928571429;0,822222222;FO;mixedForest;59,91676645;PASSERIFORMES;Fringillidae
Lagopus lagopus;Lagopus lagopus;2000s;4;0,05;0,04;0,01;89787,41399;88849,50003;0,893289428;0,897624438;937,9139569;-0,004335009;bird;0;566,86;4,2;R;1;0,952380952;0,977777778;MM;other;62,09720537;GALLIFORMES;Phasianidae
Lagopus lagopus;Lagopus lagopus;2006s;5;0,078;0,07;0,008;13043,48937;13157,23146;0,866189936;0,88083391;-113,7420927;-0,014643974;bird;0;566,86;4,2;R;1;0,952380952;0,977777778;MM;other;62,09720537;GALLIFORMES;Phasianidae
Lagopus lagopus;Lagopus lagopus;2012s;4;0,043;0,032;0,011;46521,67377;46010,08191;0,741948538;0,75144234;511,5918564;-0,009493802;bird;0;566,86;4,2;R;1;0,952380952;0,977777778;MM;other;62,09720537;GALLIFORMES;Phasianidae
Lagopus lagopus;Lagopus lagopus;2018s;5;0,289;0,285;0,003;1452,491477;1458,415698;0,795560527;0,803984322;-5,924220342;-0,008423795;bird;0;566,86;4,2;R;1;0,952380952;0,977777778;MM;other;62,09720537;GALLIFORMES;Phasianidae
Loxia curvirostra;Loxia curvirostra;2000s;5;0,163;0,144;0,019;1202,754549;1227,903981;0,717916034;0,715141519;-25,14943173;0,002774515;bird;0;38,29;3,4;R;0;0,977142857;0,844444444;CF;coniferous;56,28382482;PASSERIFORMES;Fringillidae
Loxia curvirostra;Loxia curvirostra;2006s;7;0,533;0,45;0,082;5,056024358;5,658175239;0,652470063;0,664303577;-0,602150881;-0,011833514;bird;0;38,29;3,4;R;0;0,977142857;0,844444444;CF;coniferous;56,28382482;PASSERIFORMES;Fringillidae
Loxia curvirostra;Loxia curvirostra;2012s;7;0,315;0,314;0,001;17,98803572;18,0062477;0,670902792;0,665927495;-0,018211974;0,004975297;bird;0;38,29;3,4;R;0;0,977142857;0,844444444;CF;coniferous;56,28382482;PASSERIFORMES;Fringillidae
Loxia curvirostra;Loxia curvirostra;2018s;7;0,454;0,445;0,009;4,870475236;4,812735415;0,656453434;0,64200704;0,057739821;0,014446394;bird;0;38,29;3,4;R;0;0,977142857;0,844444444;CF;coniferous;56,28382482;PASSERIFORMES;Fringillidae
Phoenicurus phoenicurus;Phoenicurus phoenicurus;2000s;6;0,998;0,979;0,018;0,169812092;0,176142709;0,738736752;0,748169311;-0,006330617;-0,009432559;bird;0;14,59;4,1;L;0;0,871428571;0,955555556;CF;coniferous;57,69398476;PASSERIFORMES;Muscicapidae
Phoenicurus phoenicurus;Phoenicurus phoenicurus;2006s;7;0,85;0,844;0,006;0,659475927;0,652280239;0,720769737;0,722683387;0,007195689;-0,001913649;bird;0;14,59;4,1;L;0;0,871428571;0,955555556;CF;coniferous;57,69398476;PASSERIFORMES;Muscicapidae
Phoenicurus phoenicurus;Phoenicurus phoenicurus;2012s;7;0,592;0,571;0,021;2,35473737;2,426523253;0,642367102;0,643104769;-0,071785884;-0,000737667;bird;0;14,59;4,1;L;0;0,871428571;0,955555556;CF;coniferous;57,69398476;PASSERIFORMES;Muscicapidae
Phoenicurus phoenicurus;Phoenicurus phoenicurus;2018s;7;0,404;0,346;0,058;5,031740101;5,409070464;0,661846692;0,67330597;-0,377330363;-0,011459279;bird;0;14,59;4,1;L;0;0,871428571;0,955555556;CF;coniferous;57,69398476;PASSERIFORMES;Muscicapidae
Phylloscopus trochilus;Phylloscopus trochilus;2000s;7;0,657;0,652;0,005;8,548747562;8,481414706;0,793243507;0,786032311;0,067332856;0,007211196;bird;0;8,7;3,5;L;0;0,955102041;0,933333333;DF;deciduous;56,99735626;PASSERIFORMES;Sylviidae
Phylloscopus trochilus;Phylloscopus trochilus;2006s;7;0,393;0,356;0,036;17,1211215;16,36161134;0,751791691;0,758269338;0,75951016;-0,006477647;bird;0;8,7;3,5;L;0;0,955102041;0,933333333;DF;deciduous;56,99735626;PASSERIFORMES;Sylviidae
Phylloscopus trochilus;Phylloscopus trochilus;2012s;7;0,371;0,368;0,003;14,34888498;14,39757563;0,705055996;0,705955114;-0,048690642;-0,000899118;bird;0;8,7;3,5;L;0;0,955102041;0,933333333;DF;deciduous;56,99735626;PASSERIFORMES;Sylviidae
Phylloscopus trochilus;Phylloscopus trochilus;2018s;7;0,342;0,294;0,049;18,19511669;17,15893085;0,725332818;0,726676031;1,036185833;-0,001343213;bird;0;8,7;3,5;L;0;0,955102041;0,933333333;DF;deciduous;56,99735626;PASSERIFORMES;Sylviidae
Prunella modularis;Prunella modularis;2000s;6;0,683;0,678;0,005;68,65270427;68,10507333;0,823241063;0,822014897;0,547630942;0,001226165;bird;0;20,24;4,6;S;0;0,9;0,888888889;FO;mixedForest;55,34242306;PASSERIFORMES;Prunellidae
Prunella modularis;Prunella modularis;2006s;7;0,489;0,446;0,043;5,060636413;4,782514361;0,690087585;0,685853567;0,278122052;0,004234018;bird;0;20,24;4,6;S;0;0,9;0,888888889;FO;mixedForest;55,34242306;PASSERIFORMES;Prunellidae
Prunella modularis;Prunella modularis;2012s;7;0,446;0,414;0,032;8,621382577;8,272238012;0,689734033;0,696864825;0,349144565;-0,007130792;bird;0;20,24;4,6;S;0;0,9;0,888888889;FO;mixedForest;55,34242306;PASSERIFORMES;Prunellidae
Prunella modularis;Prunella modularis;2018s;7;0,445;0,38;0,065;21,88682666;23,80592307;0,705073283;0,709171152;-1,919096416;-0,00409787;bird;0;20,24;4,6;S;0;0,9;0,888888889;FO;mixedForest;55,34242306;PASSERIFORMES;Prunellidae
Pyrrhula pyrrhula;Pyrrhula pyrrhula;2000s;6;0,381;0,366;0,015;44,39862384;45,21029199;0,614843107;0,61588305;-0,811668155;-0,001039943;bird;0;24,26;4,8;R;0;0,928571429;0,822222222;CF;coniferous;55,96842407;PASSERIFORMES;Fringillidae
Pyrrhula pyrrhula;Pyrrhula pyrrhula;2006s;7;0,57;0,557;0,013;0,606807665;0,596194345;0,634076093;0,63699525;0,010613321;-0,002919157;bird;0;24,26;4,8;R;0;0,928571429;0,822222222;CF;coniferous;55,96842407;PASSERIFORMES;Fringillidae
Pyrrhula pyrrhula;Pyrrhula pyrrhula;2012s;7;0,524;0,519;0,005;4,287518341;4,257301076;0,698317314;0,687528769;0,030217265;0,010788545;bird;0;24,26;4,8;R;0;0,928571429;0,822222222;CF;coniferous;55,96842407;PASSERIFORMES;Fringillidae
Pyrrhula pyrrhula;Pyrrhula pyrrhula;2018s;7;0,446;0,434;0,012;12,54300796;12,74305508;0,693158649;0,698931622;-0,200047121;-0,005772973;bird;0;24,26;4,8;R;0;0,928571429;0,822222222;CF;coniferous;55,96842407;PASSERIFORMES;Fringillidae
Carduelis spinus;Spinus spinus;2000s;7;0,727;0,691;0,036;1,405318691;1,48758545;0,656570263;0,665347044;-0,082266759;-0,00877678;bird;0;13,24;4,1;S;0;0,955102041;0,733333333;CF;coniferous;56,48030979;PASSERIFORMES;Fringillidae
Carduelis spinus;Spinus spinus;2006s;7;0,431;0,412;0,02;3,755302417;3,850136793;0,652974696;0,647137174;-0,094834377;0,005837522;bird;0;13,24;4,1;S;0;0,955102041;0,733333333;CF;coniferous;56,48030979;PASSERIFORMES;Fringillidae
Carduelis spinus;Spinus spinus;2012s;7;0,398;0,327;0,07;4,458154598;4,082497944;0,632976834;0,620116303;0,375656654;0,012860531;bird;0;13,24;4,1;S;0;0,955102041;0,733333333;CF;coniferous;56,48030979;PASSERIFORMES;Fringillidae
Carduelis spinus;Spinus spinus;2018s;7;0,393;0,299;0,094;6,641723147;7,462671032;0,648631997;0,655559513;-0,820947885;-0,006927516;bird;0;13,24;4,1;S;0;0,955102041;0,733333333;CF;coniferous;56,48030979;PASSERIFORMES;Fringillidae
Tringa glareola;Tringa glareola;2000s;7;0,661;0,649;0,012;6,597505825;6,716846941;0,711259277;0,712768896;-0,119341116;-0,001509619;bird;0;62,05;5,2;L;0;0,971428571;1;MM;other;59,92432076;CHARADRIIFORMES;Scolopacidae
Tringa glareola;Tringa glareola;2006s;7;0,637;0,611;0,025;5,023549817;4,840896025;0,743092175;0,74769096;0,182653792;-0,004598786;bird;0;62,05;5,2;L;0;0,971428571;1;MM;other;59,92432076;CHARADRIIFORMES;Scolopacidae
Tringa glareola;Tringa glareola;2012s;7;0,843;0,768;0,075;0,882050672;0,774422823;0,691182697;0,68181369;0,107627849;0,009369007;bird;0;62,05;5,2;L;0;0,971428571;1;MM;other;59,92432076;CHARADRIIFORMES;Scolopacidae
Tringa glareola;Tringa glareola;2018s;7;0,646;0,592;0,054;3,8843998;3,588285516;0,734316123;0,732885282;0,296114283;0,001430841;bird;0;62,05;5,2;L;0;0,971428571;1;MM;other;59,92432076;CHARADRIIFORMES;Scolopacidae
Turdus philomelos;Turdus philomelos;2000s;6;0,223;0,223;0,001;287,7045293;287,4617515;0,67598878;0,679972344;0,242777816;-0,003983564;bird;0;67,74;5,2;S;0;0,897142857;0,8;FO;mixedForest;56,40790347;PASSERIFORMES;Turdidae
Turdus philomelos;Turdus philomelos;2006s;7;0,354;0,35;0,004;11,75433072;11,8127794;0,665539799;0,65971719;-0,05844868;0,005822608;bird;0;67,74;5,2;S;0;0,897142857;0,8;FO;mixedForest;56,40790347;PASSERIFORMES;Turdidae
Turdus philomelos;Turdus philomelos;2012s;7;0,339;0,288;0,051;11,02843509;10,37340032;0,66549636;0,669419571;0,655034765;-0,003923212;bird;0;67,74;5,2;S;0;0,897142857;0,8;FO;mixedForest;56,40790347;PASSERIFORMES;Turdidae
Turdus philomelos;Turdus philomelos;2018s;7;0,332;0,285;0,047;20,99854991;19,85265453;0,69294812;0,69310605;1,145895378;-0,00015793;bird;0;67,74;5,2;S;0;0,897142857;0,8;FO;mixedForest;56,40790347;PASSERIFORMES;Turdidae
Tringa ochropus;Tringa ochropus;2000s;6;0,995;0,961;0,034;0,060582439;0,064808143;0,609738049;0,625384131;-0,004225703;-0,015646081;bird;0;71,4;5,6;L;0;0,826666667;0,911111111;FO;mixedForest;55,43552499;CHARADRIIFORMES;Scolopacidae
Tringa ochropus;Tringa ochropus;2006s;7;0,532;0,507;0,025;2,390424179;2,311147202;0,633784928;0,632285453;0,079276976;0,001499475;bird;0;71,4;5,6;L;0;0,826666667;0,911111111;FO;mixedForest;55,43552499;CHARADRIIFORMES;Scolopacidae
Tringa ochropus;Tringa ochropus;2012s;7;0,696;0,612;0,084;1,19059385;1,046162931;0,638432875;0,62891169;0,144430919;0,009521185;bird;0;71,4;5,6;L;0;0,826666667;0,911111111;FO;mixedForest;55,43552499;CHARADRIIFORMES;Scolopacidae
Tringa ochropus;Tringa ochropus;2018s;7;0,526;0,524;0,002;6,236961022;6,254404763;0,651560651;0,650669296;-0,017443741;0,000891355;bird;0;71,4;5,6;L;0;0,826666667;0,911111111;FO;mixedForest;55,43552499;CHARADRIIFORMES;Scolopacidae
Turdus iliacus;Turdus iliacus;2000s;7;0,985;0,974;0,012;0,120709801;0,123499613;0,792103453;0,790332663;-0,002789812;0,00177079;bird;0;61,2;6,1;S;0;0,876923077;0,777777778;FO;mixedForest;56,44037384;PASSERIFORMES;Turdidae
