"species","year","naxes","beta_total","beta_repl","beta_diff","vol_protected","vol_unprotected","disp_protected","disp_unprotected","delta_vol","delta_disp"
"Columba palumbus","2006s",7,0.524,0.512,0.011,5.93884986194129,5.84858422534359,0.691796828105672,0.690790399921947,0.0902656365976986,0.00100642818372487
"Columba palumbus","2012s",7,0.487,0.487,0,9.03581545006713,9.03385290932315,0.655750794708892,0.653647162832706,0.00196254074397828,0.00210363187618623
"Columba palumbus","2018s",7,0.489,0.466,0.023,11.9578002843491,12.3322686897054,0.638135198046658,0.635022163930161,-0.374468405356254,0.00311303411649699
"Curruca curruca","2006s",7,0.436,0.418,0.018,19.9607248177286,19.5043696535151,0.706091158197708,0.697316642711202,0.456355164213537,0.0087745154865061
"Curruca curruca","2012s",7,0.868,0.866,0.002,0.787994657248323,0.791199657208696,0.686328511044585,0.6828122408392,-0.00320499996037327,0.00351627020538547
"Curruca curruca","2018s",7,0.625,0.615,0.011,5.73661670786986,5.82536565342183,0.621211842804212,0.620888331575495,-0.0887489455519628,0.000323511228716655
"Cyanistes caeruleus","2006s",7,0.305,0.281,0.024,137.691177652955,133.919300665724,0.778718067253487,0.782331667682699,3.77187698723125,-0.00361360042921255
"Cyanistes caeruleus","2012s",7,0.585,0.521,0.063,5.11089604889258,4.67316172600888,0.677028260500676,0.67737345627823,0.437734322883704,-0.00034519577755332
"Cyanistes caeruleus","2018s",7,0.673,0.671,0.002,4.81109630063588,4.82423724408005,0.631926086805076,0.636669933718677,-0.0131409434441778,-0.00474384691360064
"Emberiza citrinella","2006s",7,0.421,0.407,0.014,104.491696239616,102.629939058622,0.722958180981671,0.718521507328631,1.86175718099484,0.00443667365304012
"Emberiza citrinella","2012s",7,0.462,0.408,0.054,21.9396224126477,20.4496905719512,0.642570397478228,0.650286976183918,1.48993184069645,-0.00771657870568943
"Emberiza citrinella","2018s",6,0.132,0.119,0.014,784.08376236833,772.796661941011,0.656453239836229,0.654213140087,11.2871004273196,0.00224009974922912
"Erythrina erythrina","2006s",7,0.318,0.316,0.002,38.3589793123165,38.2781204583515,0.607066291296583,0.607852662006924,0.0808588539650188,-0.0007863707103416
"Erythrina erythrina","2012s",7,0.726,0.672,0.054,7.90773096168638,8.60433192679305,0.673347915491355,0.681972366559139,-0.696600965106672,-0.00862445106778464
"Erythrina erythrina","2018s",7,0.726,0.675,0.051,13.2844740646737,14.3906701368786,0.647783849733781,0.64889531140746,-1.10619607220486,-0.00111146167367904
"Numenius arquata","2006s",7,0.382,0.351,0.031,23.9790538688909,24.9030798659791,0.706284471359054,0.704535951241377,-0.924025997088286,0.00174852011767768
"Numenius arquata","2012s",7,0.683,0.648,0.035,1.55450618044724,1.63998443841844,0.607697495941227,0.609426511784213,-0.0854782579711975,-0.00172901584298546
"Numenius arquata","2018s",7,0.421,0.372,0.049,32.0508772034535,30.139337765239,0.641810164041413,0.639492695918127,1.91153943821443,0.00231746812328604
"Pica pica","2006s",7,0.26,0.249,0.01,122.263143489639,120.828932016761,0.670176795379027,0.668164049974945,1.43421147287749,0.00201274540408192
"Pica pica","2012s",7,0.444,0.433,0.011,118.327026513286,116.61631330737,0.723902755396735,0.723910335374943,1.71071320591564,-7.57997820877154e-06
"Pica pica","2018s",7,0.233,0.233,0.001,234.515573678092,234.367586758415,0.722875318505526,0.724482062200617,0.147986919677351,-0.00160674369509084
"Sylvia borin","2000s",6,0.25,0.237,0.013,311.578164653001,316.21868361357,0.691338115387705,0.698338909160042,-4.64051896056947,-0.00700079377233731
"Sylvia borin","2006s",7,0.266,0.252,0.014,191.23391037085,188.191454307663,0.789871895966054,0.779645366623143,3.04245606318744,0.0102265293429102
"Sylvia borin","2012s",7,0.523,0.504,0.019,11.1860314362929,10.9031287011239,0.693665528782371,0.697088391707947,0.282902735169023,-0.00342286292557659
"Sylvia borin","2018s",7,0.523,0.502,0.021,9.99790323819619,9.72251673910377,0.635588420668277,0.632346180860461,0.275386499092415,0.00324223980781602
"Tringa totanus","2006s",6,0.185,0.183,0.002,665.539707904288,667.241768275456,0.806537323088281,0.813577535395083,-1.70206037116839,-0.00704021230680163
"Tringa totanus","2018s",5,0.056,0.053,0.002,22130.7327752776,22078.2007098941,0.734850046059934,0.736759336934231,52.5320653835442,-0.00190929087429792
"Turdus merula","2006s",7,0.311,0.274,0.037,42.9454986699136,41.1179667936273,0.731911806166992,0.730856051930785,1.82753187628635,0.00105575423620763
"Turdus merula","2012s",7,0.523,0.465,0.058,12.5030826622088,13.5242638244677,0.690356566442377,0.692351042765669,-1.02118116225891,-0.00199447632329208
"Turdus merula","2018s",7,0.515,0.461,0.054,11.1880081960833,10.3998608568232,0.633896054223184,0.628687866756707,0.788147339260089,0.00520818746647755
"Turdus pilaris","2000s",6,0.168,0.146,0.023,1259.2656900039,1228.15968762732,0.778796659950173,0.777765065868476,31.1060023765767,0.00103159408169684
"Turdus pilaris","2006s",7,0.26,0.221,0.038,129.019067666734,123.445858889362,0.755240586659599,0.753393091082066,5.573208777372,0.00184749557753272
"Turdus pilaris","2012s",7,0.313,0.28,0.033,57.4385319264529,55.2258023400799,0.700588463886676,0.690435523004501,2.21272958637297,0.010152940882175
"Turdus pilaris","2018s",7,0.235,0.217,0.019,134.08945646904,136.933947510073,0.714917315942987,0.720720540320497,-2.84449104103297,-0.00580322437750924
"Vanellus vanellus","2006s",7,0.34,0.311,0.029,14.9835992639672,15.5237720677806,0.600539028633479,0.60464963351357,-0.54017280381338,-0.00411060488009163
"Vanellus vanellus","2012s",5,0.21,0.187,0.023,278.575749553821,271.420191953413,0.559342653005171,0.560032674845803,7.15555760040786,-0.000690021840631938
"Vanellus vanellus","2018s",7,0.58,0.573,0.008,10.611927798821,10.7258811480922,0.649630569546053,0.651809246024521,-0.11395334927121,-0.00217867647846759
"Curruca communis","2012s",7,0.782,0.773,0.009,7.91353869827857,7.80318134016575,0.78880992485502,0.795675297273138,0.110357358112817,-0.0068653724181178
"Curruca communis","2018s",7,0.673,0.65,0.022,8.4347630104239,8.15671551570082,0.736615424358004,0.737515356669192,0.278047494723079,-0.000899932311187457
"Motacilla alba","2000s",6,0.272,0.268,0.003,683.730418681165,686.480455038603,0.790745732501747,0.791197485006211,-2.75003635743747,-0.000451752504464387
"Motacilla alba","2006s",7,0.271,0.269,0.002,58.1358251254583,58.2411195199212,0.70501834147399,0.700906565445689,-0.105294394462859,0.00411177602830048
"Motacilla alba","2012s",7,0.925,0.889,0.036,0.337013341443871,0.315199455332427,0.751416453668352,0.748199689078884,0.0218138861114445,0.00321676458946807
"Motacilla alba","2018s",7,0.396,0.364,0.031,28.73447114163,27.6327127744245,0.64218625110523,0.636245027385917,1.10175836720545,0.00594122371931249
"Phylloscopus collybita","2006s",7,0.533,0.504,0.029,4.54996599039035,4.37515862183148,0.695639953115053,0.691058753435621,0.174807368558864,0.00458119967943238
"Phylloscopus collybita","2012s",7,0.444,0.433,0.011,4.32956149051364,4.26748079604349,0.606433528352992,0.615249226508556,0.0620806944701524,-0.00881569815556349
"Phylloscopus collybita","2018s",7,0.448,0.43,0.019,11.3977472089131,11.6740618988535,0.631965572997138,0.630039764878223,-0.276314689940397,0.00192580811891563
"Rhadina sibilatrix","2006s",7,0.473,0.467,0.005,18.8977401958186,19.033576355532,0.744062944371953,0.74209985067806,-0.135836159713364,0.00196309369389347
"Rhadina sibilatrix","2012s",7,0.24,0.227,0.013,71.6947786029188,72.7740795209951,0.655381060433398,0.664521791322703,-1.07930091807633,-0.00914073088930423
"Rhadina sibilatrix","2018s",7,0.339,0.317,0.022,16.2276626100975,15.7995086950142,0.611226606190195,0.612559518750921,0.428153915083268,-0.0013329125607261
"Actitis hypoleucos","2000s",5,0.063,0.056,0.007,38575.0300381605,38286.3648557229,0.901399123997401,0.897240250303646,288.665182437588,0.00415887369375501
"Actitis hypoleucos","2006s",7,0.839,0.828,0.011,4.27302970522398,4.19139611060994,0.85333523773843,0.849017216812398,0.0816335946140363,0.00431802092603129
"Actitis hypoleucos","2012s",7,0.743,0.74,0.003,14.0401894441707,14.1156578741469,0.876533507154147,0.877174620278896,-0.0754684299762438,-0.000641113124749904
"Actitis hypoleucos","2018s",7,0.545,0.527,0.018,5.9416034098809,5.79543878266165,0.622943692756527,0.62724372237657,0.146164627219251,-0.00430002962004339
"Hirundo rustica","2006s",7,0.378,0.369,0.009,31.2962128232998,30.9509145232262,0.730344843324934,0.727472747116769,0.345298300073583,0.00287209620816542
"Hirundo rustica","2012s",7,0.675,0.672,0.003,6.65650474741537,6.68790165500025,0.653713542829989,0.653481800936926,-0.0313969075848801,0.000231741893063631
"Hirundo rustica","2018s",7,0.426,0.401,0.025,22.7639738176376,22.0576299907509,0.641821843990296,0.636263505554125,0.706343826886641,0.00555833843617093
"Seicercus trochiloides","2012s",7,0.468,0.435,0.033,10.0815939858696,10.5280898044789,0.678247090205345,0.683457610732273,-0.446495818609325,-0.00521052052692772
"Seicercus trochiloides","2018s",7,0.484,0.462,0.023,32.3713576265583,33.3472991397575,0.676393193141184,0.682452186709959,-0.975941513199139,-0.00605899356877537
"Sylvia atricapilla","2012s",7,0.532,0.512,0.02,12.4386188407142,12.7737989856004,0.708942786795593,0.708009896666891,-0.335180144886241,0.00093289012870168
"Sylvia atricapilla","2018s",7,0.578,0.556,0.021,7.00466808091039,7.21902298487291,0.594466808223927,0.594938822821462,-0.214354903962519,-0.000472014597535209
"Sturnus vulgaris","2012s",7,0.533,0.509,0.024,20.1520047729975,19.5034427006625,0.827202085801726,0.830277460326513,0.648562072335032,-0.00307537452478646
"Sturnus vulgaris","2018s",6,0.28,0.273,0.007,478.900538297376,482.915520806331,0.790357613600044,0.791892111295732,-4.01498250895537,-0.00153449769568736
"Lophophanes cristatus","2000s",4,0.04,0.034,0.006,5131.48024267855,5099.35620664338,0.424505154923169,0.425039981646049,32.1240360351749,-0.000534826722879522
"Lophophanes cristatus","2006s",6,0.331,0.322,0.01,42.1770647532025,41.6950012150332,0.581246583663876,0.583558786991351,0.482063538169278,-0.00231220332747462
"Lophophanes cristatus","2012s",7,0.62,0.582,0.038,1.51832967631891,1.60336323481811,0.609122554067142,0.620970387513359,-0.085033558499199,-0.0118478334462162
"Lophophanes cristatus","2018s",7,0.436,0.399,0.037,11.0614167454637,10.5542713021551,0.589521019860911,0.584385828443862,0.507145443308636,0.00513519141704954
"Numenius phaeopus","2000s",6,0.996,0.981,0.015,0.576369943778388,0.594170596527605,0.742129216664074,0.744932908784504,-0.0178006527492164,-0.00280369212042952
"Numenius phaeopus","2006s",6,0.14,0.122,0.018,1759.37549803936,1793.50281071466,0.694410904831705,0.700108983793327,-34.1273126752938,-0.005698078961622
"Numenius phaeopus","2012s",5,0.302,0.265,0.037,1497.38129635988,1563.69951751555,0.726378250264705,0.723752765639675,-66.3182211556748,0.00262548462503032
"Numenius phaeopus","2018s",5,0.085,0.071,0.014,7998.08678911776,8115.82062163413,0.788355812783172,0.769930279281361,-117.733832516365,0.0184255335018103
"Jynx torquilla","2006s",6,0.442,0.434,0.007,645.228084467055,651.366038383573,0.784183578416877,0.790676840478835,-6.13795391651865,-0.00649326206195755
"Jynx torquilla","2012s",5,0.086,0.08,0.006,972.310287018508,978.432914201149,0.48719042823804,0.491347507268503,-6.12262718264094,-0.00415707903046275
"Jynx torquilla","2018s",5,0.181,0.164,0.017,2557.16193006584,2604.86658254317,0.748785759342504,0.765265503815324,-47.7046524773305,-0.0164797444728203
"Periparus ater","2006s",6,0.286,0.284,0.002,32.7349355252967,32.6542514908563,0.536711720674259,0.543422689065071,0.0806840344404023,-0.00671096839081176
"Periparus ater","2012s",7,0.603,0.579,0.024,5.61330265088594,5.420177565852,0.715079668983388,0.715447741949309,0.193125085033945,-0.000368072965920785
"Periparus ater","2018s",6,0.155,0.141,0.015,336.064625787922,341.416032345459,0.672316489756729,0.66755956452245,-5.3514065575373,0.00475692523427962
"Columba oenas","2012s",6,0.135,0.104,0.031,5048.69900058836,4884.52210728036,0.845339765832433,0.841648922276248,164.176893308002,0.00369084355618499
"Scolopax rusticola","2012s",5,0.169,0.163,0.006,3770.67952153019,3795.78796651106,0.867755573867343,0.873521455346154,-25.1084449808741,-0.00576588147881085
"Scolopax rusticola","2018s",6,0.295,0.269,0.026,35.3137414077304,36.4277469600719,0.573376712747725,0.565058900508571,-1.1140055523415,0.0083178122391544
"Apus apus","2006s",5,0.449,0.442,0.007,569.210294017341,574.566461719925,0.681546629986626,0.669041470477345,-5.35616770258378,0.0125051595092814
"Apus apus","2012s",7,0.745,0.732,0.013,0.194410369360511,0.190473472459779,0.561287037049515,0.557059882898693,0.00393689690073123,0.00422715415082187
"Apus apus","2018s",6,0.514,0.513,0.001,2.23999057594271,2.23815709603872,0.442014863023582,0.450100031019416,0.0018334799039974,-0.00808516799583348
"Lagopus lagopus","2006s",5,0.058,0.057,0.001,20312.6884655886,20301.2527928986,0.780581311653636,0.779615781755777,11.435672690026,0.000965529897858808
"Lagopus lagopus","2012s",4,0.049,0.046,0.003,48616.1521039184,48772.840685994,0.782219892008942,0.749070895599747,-156.688582075541,0.0331489964091948
"Lagopus lagopus","2018s",5,0.214,0.193,0.02,3103.73292115118,3033.39064344446,0.80918706015767,0.804786456351137,70.3422777067281,0.00440060380653318
"Lanius excubitor","2012s",4,0.041,0.04,0.001,47701.3736193512,47660.7260550823,0.729021413171865,0.731441468059989,40.6475642689402,-0.00242005488812325
"Lanius excubitor","2018s",5,0.113,0.111,0.002,1683.54536125855,1679.4889126686,0.599801818965214,0.604716463104279,4.05644858994879,-0.00491464413906484
"Oenanthe oenanthe","2006s",5,0.083,0.065,0.017,12439.7185919545,12666.6273844295,0.814185332877474,0.82399908963253,-226.908792475011,-0.00981375675505636
"Oenanthe oenanthe","2012s",5,0.072,0.061,0.01,16823.8968653346,17004.3771413083,0.805732997093205,0.818381795132758,-180.480275973714,-0.0126487980395535
"Oenanthe oenanthe","2018s",5,0.062,0.06,0.002,14060.463240294,14083.9437813936,0.672258877398531,0.676716261406406,-23.480541099605,-0.00445738400787543
"Pandion haliaetus","2012s",5,0.482,0.48,0.003,431.076085129096,432.729492299952,0.667133006242194,0.661136613722945,-1.6534071708553,0.00599639251924888
"Pandion haliaetus","2018s",6,0.188,0.181,0.007,391.3762438528,394.579001897578,0.608066355254745,0.610070837109458,-3.20275804477797,-0.00200448185471325
"Corvus corone","2018s",6,0.519,0.507,0.012,70.5614157900422,69.3922188073099,0.634276209741396,0.639267905737708,1.16919698273236,-0.00499169599631211
"Corvus monedula","2012s",6,0.162,0.147,0.014,564.188417557138,572.982614147406,0.784410189574157,0.780836854990589,-8.79419659026814,0.00357333458356823
"Corvus monedula","2018s",7,0.784,0.77,0.014,17.4684458632226,17.8718049449784,0.729327771481766,0.724147991886217,-0.403359081755752,0.00517977959554861
"Schoeniclus rusticus","2006s",5,0.089,0.08,0.009,5264.74815316866,5218.11088396554,0.690916519737029,0.702455569486296,46.6372692031218,-0.0115390497492666
"Schoeniclus rusticus","2012s",5,0.477,0.419,0.058,161.04072778078,173.770087959603,0.578738255175437,0.59070709748876,-12.7293601788232,-0.011968842313323
"Schoeniclus rusticus","2018s",5,0.145,0.127,0.018,1219.66216828319,1195.96498076429,0.634622115769856,0.642460761418423,23.6971875188904,-0.00783864564856629
"Ficedula parva","2012s",7,0.592,0.586,0.006,13.0981652251972,12.9862192321558,0.672968223725423,0.671921273634727,0.111945993041438,0.00104695009069522
"Ficedula parva","2018s",6,0.109,0.108,0.001,1268.11186576853,1266.88587430672,0.675462535858477,0.672669115173901,1.22599146181369,0.00279342068457611
"Luscinia luscinia","2012s",6,0.154,0.145,0.009,1232.94995918132,1221.37799719177,0.766857624349974,0.764994732037993,11.5719619895492,0.00186289231198122
"Luscinia luscinia","2018s",6,0.185,0.157,0.029,359.422209329252,348.207831420143,0.68497154179999,0.687104549137591,11.214377909109,-0.00213300733760025
"Garrulus glandarius","2006s",7,0.329,0.316,0.013,9.67364548340179,9.82543554239947,0.652838091454166,0.653626431988494,-0.151790058997678,-0.000788340534327858
"Garrulus glandarius","2012s",7,0.526,0.502,0.024,36.7421308401153,37.9383982604611,0.741604824110956,0.743026689606205,-1.19626742034582,-0.00142186549524981
"Garrulus glandarius","2018s",6,0.136,0.134,0.002,1165.60675216222,1167.83366413594,0.776894078667894,0.779264462183196,-2.22691197372205,-0.00237038351530205
"Calidris falcinellus","2006s",5,0.058,0.055,0.003,13239.7579426079,13200.4510994474,0.68465564311296,0.689416214318968,39.3068431605188,-0.00476057120600792
"Calidris falcinellus","2012s",4,0.052,0.038,0.014,22321.3397071814,22007.5468846759,0.729742712508409,0.710984170056581,313.79282250554,0.0187585424518276
"Calidris falcinellus","2018s",5,0.067,0.058,0.009,17605.0540801328,17774.7914481179,0.768200329333746,0.777078934417725,-169.737367985104,-0.00887860508397931
"Lymnocryptes minimus","2006s",5,0.082,0.045,0.036,18743.659988394,18047.5162757077,0.71324414766025,0.699731009012536,696.143712686284,0.013513138647714
"Lymnocryptes minimus","2012s",4,0.051,0.041,0.011,49421.6958308376,48889.2036867933,0.758584400485174,0.753333883654167,532.492144044263,0.00525051683100719
"Lymnocryptes minimus","2018s",6,0.445,0.425,0.02,1477.03248484264,1439.38168397418,0.871712848364585,0.875795073577326,37.6508008684573,-0.00408222521274126
"Luscinia svecica","2000s",4,0.073,0.032,0.04,34319.5666207857,35783.251003935,0.729429817278413,0.752769889618219,-1463.68438314928,-0.0233400723398061
"Luscinia svecica","2018s",5,0.11,0.106,0.004,14861.782135194,14929.699526528,0.839083057679856,0.846668269502561,-67.9173913339964,-0.00758521182270511
"Schoeniclus pusillus","2012s",4,0.051,0.042,0.01,4623.4638144234,4670.57189678937,0.505841111202683,0.509658580383345,-47.1080823659722,-0.00381746918066217
"Calidris pugnax","2012s",4,0.063,0.046,0.017,63505.7279491591,62414.2751244004,0.806247092594893,0.794437874020213,1091.45282475876,0.0118092185746796
"Calidris pugnax","2018s",4,0.042,0.038,0.004,92131.6909201478,91767.2517975519,0.826628797996515,0.834875469181635,364.439122595868,-0.00824667118512001
"Pinicola enucleator","2012s",4,0.053,0.051,0.002,840.840241041508,838.997011536776,0.365668702162017,0.370572085139134,1.84322950473245,-0.00490338297711779
"Pinicola enucleator","2018s",4,0.048,0.039,0.008,11610.1942170985,11509.8006549691,0.528172594832141,0.534355979932318,100.393562129364,-0.00618338510017669
"Buteo lagopus","2012s",5,0.113,0.098,0.015,7645.50994514965,7525.25628587587,0.812682468156584,0.822462734536638,120.253659273777,-0.00978026638005358
"Asio flammeus","2012s",5,0.127,0.126,0.001,19569.0352425064,19546.9868443643,0.946933551669986,0.933388424922957,22.0483981421567,0.0135451267470288
"Accipiter nisus","2012s",4,0.054,0.05,0.004,36161.208738826,36012.7700342938,0.856252521066162,0.858230952911686,148.438704532244,-0.00197843184552371
"Phasianus colchicus","2018s",7,0.91,0.898,0.013,0.216973417423884,0.222128185571903,0.614118463299645,0.617454722893509,-0.00515476814801941,-0.00333625959386408
"Alces alces","2000s",7,0.577,0.483,0.093,0.0761116101936301,0.0868000605364657,0.416458570748628,0.417716214184192,-0.0106884503428356,-0.00125764343556423
"Alces alces","2006s",7,0.58,0.543,0.038,0.0600988472164358,0.0633660931995893,0.409948951135138,0.411107462039114,-0.00326724598315349,-0.00115851090397584
"Alces alces","2012s",7,0.548,0.543,0.005,0.0401128314056106,0.0398510653264766,0.414232795145873,0.415633816111224,0.00026176607913405,-0.00140102096535172
"Alces alces","2018s",7,0.628,0.591,0.037,0.0325141644648035,0.0308042493217844,0.408944943516146,0.407804405241449,0.00170991514301912,0.00114053827469607
"Lepus timidus","2000s",7,0.505,0.452,0.052,0.148467601435525,0.15924496196601,0.415312560782525,0.425927811156841,-0.0107773605304843,-0.0106152503743155
"Lepus timidus","2006s",7,0.533,0.532,0.001,0.101756159179604,0.10165765185447,0.416316271793313,0.416499767539838,9.85073251344865e-05,-0.000183495746525486
"Lepus timidus","2012s",7,0.549,0.485,0.064,0.0740762505477619,0.0678431896959188,0.415094263057149,0.409538439414295,0.00623306085184309,0.00555582364285345
"Lepus timidus","2018s",7,0.596,0.542,0.055,0.0491333278722775,0.0454555875400988,0.403305040885446,0.396581227696295,0.0036777403321787,0.00672381318915094
"Lynx lynx","2000s",7,0.664,0.651,0.013,0.0206060538337678,0.0210235597713787,0.336720660582043,0.337699280069059,-0.000417505937610956,-0.000978619487015886
"Lynx lynx","2006s",7,0.534,0.514,0.02,0.0743527594584572,0.0763706558393284,0.385870046582435,0.384990880986382,-0.00201789638087116,0.000879165596053721
"Lynx lynx","2012s",7,0.548,0.533,0.014,0.0702844963623083,0.07168254334528,0.405655168472527,0.404680302182902,-0.00139804698297175,0.000974866289625564
"Lynx lynx","2018s",7,0.489,0.462,0.027,0.0752635723291775,0.0779846489930376,0.38013641791386,0.383829473305339,-0.00272107666386008,-0.00369305539147963
"Mustela erminea","2000s",7,0.531,0.5,0.031,0.395284076871621,0.412294426903755,0.438874266495508,0.449950563274814,-0.017010350032134,-0.011076296779306
"Mustela erminea","2006s",7,0.644,0.578,0.066,0.147128502654961,0.162151264101815,0.412579132692505,0.418374560029391,-0.0150227614468534,-0.00579542733688609
"Mustela erminea","2012s",7,0.577,0.565,0.012,0.220142352414981,0.216416613809671,0.459872567805525,0.463626912168468,0.00372573860530975,-0.00375434436294297
"Mustela erminea","2018s",7,0.508,0.451,0.057,0.872546477601021,0.808202759618419,0.483238215227447,0.473094230643006,0.0643437179826017,0.0101439845844406
"Sciurus vulgaris","2000s",7,0.506,0.487,0.02,0.181352927852198,0.176667970181428,0.442357334373811,0.448382550018879,0.00468495767076962,-0.00602521564506797
"Sciurus vulgaris","2006s",7,0.533,0.488,0.045,0.14223041371378,0.151161156108304,0.435858407863124,0.440420223272102,-0.0089307423945236,-0.00456181540897838
"Sciurus vulgaris","2012s",7,0.541,0.497,0.044,0.103556585310985,0.109971639848172,0.434557189621066,0.437642650882306,-0.00641505453718708,-0.00308546126123921
"Sciurus vulgaris","2018s",7,0.549,0.546,0.003,0.0849074596694195,0.0853072706487552,0.417371764656913,0.414469608947412,-0.000399810979335627,0.0029021557095007
"Lutra lutra","2000s",7,0.54,0.532,0.008,0.169379112839246,0.167473103411249,0.425992996409856,0.425522814699203,0.00190600942799668,0.000470181710653328
"Lutra lutra","2006s",7,0.482,0.43,0.052,0.216597949187115,0.2021421560896,0.425609933125548,0.413983874118046,0.014455793097515,0.0116260590075013
"Lutra lutra","2012s",7,0.492,0.487,0.005,0.139049780906428,0.138138473648655,0.438492803011477,0.433902754020324,0.000911307257772637,0.00459004899115389
"Lutra lutra","2018s",7,0.56,0.554,0.005,0.0752449877433004,0.0757902852820247,0.418768280617252,0.420961339022666,-0.000545297538724329,-0.00219305840541406
"Lepus europaeus","2000s",7,0.531,0.495,0.036,0.188130637800385,0.179178222215708,0.430336411325434,0.434036434838278,0.00895241558467658,-0.00370002351284354
"Lepus europaeus","2006s",7,0.7,0.662,0.038,0.074036977711408,0.078502443034923,0.410149963207258,0.412983708035528,-0.00446546532351494,-0.00283374482827015
"Lepus europaeus","2012s",7,0.489,0.483,0.006,0.157659705283487,0.158991646360522,0.433014938589755,0.430820530365212,-0.00133194107703458,0.00219440822454375
"Lepus europaeus","2018s",7,0.478,0.464,0.014,0.119266971938464,0.12155362733649,0.427451557882215,0.430595162209076,-0.00228665539802569,-0.00314360432686167
"Vulpes vulpes","2000s",7,0.487,0.47,0.016,0.254143178018123,0.259734166364678,0.45175712449256,0.451424301339376,-0.00559098834655475,0.000332823153184392
"Vulpes vulpes","2006s",7,0.525,0.518,0.007,0.218982206446588,0.221154656776361,0.455044382908233,0.456899724203747,-0.00217245032977276,-0.00185534129551401
"Vulpes vulpes","2012s",7,0.604,0.51,0.094,0.12884923413715,0.112568999432215,0.46290780821842,0.461546541284458,0.0162802347049351,0.0013612669339626
"Vulpes vulpes","2018s",7,0.583,0.561,0.023,0.0883546010580639,0.0855690430496463,0.44536424435378,0.44175999798191,0.00278555800841765,0.00360424637186985
"Neovison vison","2000s",7,0.669,0.669,0,0.163666403153008,0.163595916082022,0.465403836925924,0.467738860758368,7.04870709853922e-05,-0.00233502383244416
"Neovison vison","2006s",7,0.416,0.395,0.022,0.610094715106349,0.593601328339065,0.474623266993492,0.475493572346456,0.0164933867672847,-0.000870305352964174
"Neovison vison","2012s",7,0.363,0.318,0.045,0.26935684145042,0.284513731376329,0.41645709731807,0.416551129750229,-0.0151568899259089,-9.40324321587194e-05
"Neovison vison","2018s",7,0.506,0.394,0.112,0.226241821971247,0.262996837539971,0.412632255787476,0.419497385013259,-0.0367550155687249,-0.00686512922578292
"Capreolus capreolus","2000s",7,0.695,0.657,0.038,0.126706891179421,0.134235045561032,0.387701735537879,0.392378754332948,-0.00752815438161097,-0.00467701879506899
"Capreolus capreolus","2006s",7,0.596,0.552,0.044,0.225408790768282,0.239979455680914,0.426323915982693,0.425972787716807,-0.0145706649126326,0.000351128265886125
"Capreolus capreolus","2012s",7,0.453,0.411,0.042,0.434341870522378,0.458584057505043,0.442180964018913,0.442296671579588,-0.0242421869826647,-0.000115707560675471
"Capreolus capreolus","2018s",7,0.516,0.46,0.057,0.127719115712221,0.118342833174091,0.443973908225882,0.440462683103716,0.00937628253812971,0.00351122512216628
"Nyctereutes procyonoides","2000s",7,0.414,0.359,0.056,1.01022655262317,1.0837468850069,0.46418645164459,0.468956488779571,-0.0735203323837372,-0.00477003713498031
"Nyctereutes procyonoides","2006s",7,0.496,0.473,0.023,0.389505670318585,0.377762473752908,0.464551749290544,0.466323260260965,0.0117431965656771,-0.00177151097042078
"Nyctereutes procyonoides","2012s",7,0.431,0.418,0.013,0.278041719794392,0.273429010547409,0.431553239726293,0.43166885562857,0.00461270924698259,-0.00011561590227771
"Nyctereutes procyonoides","2018s",7,0.487,0.481,0.005,0.104297794353883,0.105030089434071,0.399696841607472,0.400497921716254,-0.000732295080188114,-0.000801080108781937
"Vulpes lagopus","2000s",7,0.666,0.616,0.05,0.0413989711259499,0.044606180602358,0.398214777130076,0.400412164008168,-0.00320720947640807,-0.00219738687809218
"Vulpes lagopus","2006s",7,0.566,0.513,0.053,0.0802912291290849,0.0864843832026469,0.409457704006735,0.415410154344878,-0.00619315407356207,-0.00595245033814307
"Vulpes lagopus","2012s",7,0.581,0.521,0.06,0.0464044224857249,0.0426311740832307,0.420677339417891,0.415100602137646,0.00377324840249426,0.00557673728024477
"Vulpes lagopus","2018s",7,0.62,0.597,0.023,0.0324181298818834,0.0334993350304591,0.415620399624353,0.417711961836849,-0.00108120514857568,-0.00209156221249601
"Mustela nivalis","2000s",7,0.398,0.377,0.021,0.559887062194557,0.575062282509708,0.463171428071841,0.461963437856518,-0.0151752203151504,0.00120799021532358
"Mustela nivalis","2006s",7,0.478,0.47,0.008,0.25051984875712,0.253105025206779,0.427304966179234,0.43000026862797,-0.00258517644965872,-0.002695302448736
"Mustela nivalis","2012s",7,0.524,0.517,0.006,0.210649125958467,0.212456164086635,0.470798962432228,0.471315060971431,-0.0018070381281681,-0.000516098539202259
"Mustela nivalis","2018s",7,0.508,0.486,0.023,0.1498677857299,0.145405147012987,0.430105654568239,0.432951783840248,0.00446263871691235,-0.00284612927200834
"Odocoileus virginianus","2000s",7,0.801,0.78,0.021,0.0216894632881524,0.0209411576741188,0.38159393803176,0.379394396517135,0.000748305614033603,0.00219954151462476
"Odocoileus virginianus","2006s",7,0.669,0.642,0.026,0.0601222506937599,0.062539982382106,0.402075019843233,0.404407910507553,-0.00241773168834612,-0.0023328906643198
"Odocoileus virginianus","2012s",7,0.487,0.449,0.038,0.151985999054557,0.159751594249906,0.41431314366954,0.423658263116352,-0.00776559519534961,-0.00934511944681155
