"routeId","year","scientificName","count","CLC_yr","X_wgs84","Y_wgs84","pr_artif","pr_wetland","pr_water","pr_arable","pr_pasture","pr_heter_agric","pr_shrub_herb","pr_open","pr_other","pr_forest_broadl","pr_forest_conif","pr_forest_mixed","PA","matched"
"MNP.4827",2013,"Acanthis flammea",1,"2012s",68.1204584377057,52.852859009009,0,0,0.0705944026034331,0,0,0,0,0,0.0618894877094113,0,0.867516109687156,0,"0","1"
"MNP.4827",2013,"Acanthis hornemanni",0,"2012s",68.1204584377057,52.852859009009,0,0,0.0705944026034331,0,0,0,0,0,0.0618894877094113,0,0.867516109687156,0,"0","1"
"MNP.4827",2013,"Accipiter gentilis",1,"2012s",68.1204584377057,52.852859009009,0,0,0.0705944026034331,0,0,0,0,0,0.0618894877094113,0,0.867516109687156,0,"0","1"
"MNP.4827",2013,"Accipiter nisus",0,"2012s",68.1204584377057,52.852859009009,0,0,0.0705944026034331,0,0,0,0,0,0.0618894877094113,0,0.867516109687156,0,"0","1"
"MNP.4827",2013,"Acrocephalus arundinaceus",0,"2012s",68.1204584377057,52.852859009009,0,0,0.0705944026034331,0,0,0,0,0,0.0618894877094113,0,0.867516109687156,0,"0","1"
"MNP.4830",2012,"Acanthis flammea",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2012,"Acanthis hornemanni",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2012,"Accipiter gentilis",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2012,"Accipiter nisus",1,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2012,"Acrocephalus arundinaceus",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2013,"Acanthis flammea",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2013,"Acanthis hornemanni",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2013,"Accipiter gentilis",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2013,"Accipiter nisus",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4830",2013,"Acrocephalus arundinaceus",0,"2012s",69.0053033894829,52.4733915277674,0,0,0.178907183888562,0.0253348381086741,0,0,0.141755220956412,0,0.137072833776942,0,0.387884071456465,0.129045851812945,"0","1"
"MNP.4838",2017,"Acanthis flammea",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2017,"Acanthis hornemanni",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2017,"Accipiter gentilis",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2017,"Accipiter nisus",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2017,"Acrocephalus arundinaceus",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2018,"Acanthis flammea",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2018,"Acanthis hornemanni",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2018,"Accipiter gentilis",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
"MNP.4838",2018,"Accipiter nisus",0,"2018s",70.7951410025288,51.7660562659208,0.656651264408897,0.012964060194765,0.0128134716424747,0,0,0,0,0,0.0478711148077371,0,0.258686097457905,0.0110139914882218,"0","1"
